SKU,Product_type,Customer_Market,Stock levels,Stock_In_Transit,Net_Demand,Allocated_Units,Allocation_Fill_Rate,Priority,Coverage_Gap,Market_Priority
SKU46,haircare,Greater Asia,92,229.06666666666666,1547.2583333333332,1547,100.0,CRITICAL,-25.78696158323632,2
SKU36,skincare,Greater Asia,18,96.30000000000001,1546.8750000000002,1339,86.6,CRITICAL,-22.439252336448597,2
SKU54,haircare,Greater Asia,33,62.2,931.1000000000001,931,100.0,CRITICAL,-20.408360128617364,2
SKU84,haircare,Greater Asia,73,206.0,926.1000000000001,926,100.0,CRITICAL,-22.45631067961165,2
SKU47,skincare,Greater Asia,4,273.0,746.75,646,86.5,HIGH,-14.868131868131869,2
SKU65,skincare,Greater Asia,57,121.86666666666666,643.7333333333332,557,86.5,CRITICAL,-20.2582056892779,2
SKU60,skincare,Greater Asia,41,101.33333333333333,627.1666666666666,543,86.6,CRITICAL,-23.763157894736842,2
SKU41,skincare,Greater Asia,64,148.26666666666668,580.0333333333334,502,86.5,CRITICAL,-15.546762589928058,2
SKU30,haircare,Greater Asia,60,76.3,501.3500000000001,501,99.9,CRITICAL,-20.495412844036696,2
SKU95,haircare,Greater Asia,15,201.6,488.9999999999999,488,99.8,HIGH,-13.330357142857142,2
SKU82,skincare,Greater Asia,42,11.2,425.59999999999997,368,86.5,CRITICAL,-15.25,2
SKU59,cosmetics,Greater Asia,100,112.93333333333334,367.8666666666666,290,78.8,HIGH,-9.801652892561982,2
SKU24,haircare,Greater Asia,4,55.733333333333334,347.8166666666666,347,99.8,CRITICAL,-25.425837320574164,2
SKU28,cosmetics,Greater Asia,48,52.53333333333333,342.7166666666667,271,79.1,HIGH,-11.345177664974619,2
SKU18,haircare,Greater Asia,10,165.33333333333334,289.66666666666663,289,99.8,HIGH,-9.516129032258064,2
SKU39,skincare,Greater Asia,78,17.599999999999998,287.19999999999993,249,86.7,CRITICAL,-15.704545454545453,2
SKU63,skincare,Greater Asia,54,32.8,263.74999999999994,228,86.4,HIGH,-12.414634146341463,2
SKU0,haircare,Greater Asia,58,106.93333333333334,256.1166666666666,256,100.0,MEDIUM,-4.830423940149625,2
SKU20,skincare,Greater Asia,27,64.0,197.0,170,86.3,HIGH,-9.46875,2
SKU81,haircare,Greater Asia,48,129.0,171.3,171,99.8,MEDIUM,-4.1395348837209305,2
SKU78,haircare,Greater Asia,5,157.66666666666669,121.13333333333333,121,99.9,MEDIUM,-3.8414376321353068,2
SKU27,cosmetics,Greater Asia,47,93.86666666666666,96.7333333333333,76,78.6,MEDIUM,-4.994318181818182,2
SKU16,skincare,Greater Asia,2,9.333333333333334,93.66666666666667,81,86.5,MEDIUM,-4.785714285714286,2
SKU93,haircare,Greater Asia,63,3.8,78.55,78,99.3,MEDIUM,-0.4210526315789451,2
SKU17,cosmetics,Greater Asia,45,37.800000000000004,77.85,61,78.4,HIGH,-6.2857142857142865,2
SKU8,cosmetics,Greater Asia,5,35.0,72.5,57,78.6,HIGH,-9.0,2
SKU3,skincare,Greater Asia,23,16.6,41.32500000000001,36,87.1,MEDIUM,-4.686746987951807,2
SKU97,haircare,Greater Asia,46,18.6,23.750000000000007,23,96.8,MEDIUM,3.2580645161290285,2
SKU85,cosmetics,Greater Asia,15,1.6666666666666667,17.083333333333332,13,76.1,MEDIUM,0.0,2
SKU87,haircare,Greater Asia,5,26.333333333333332,10.141666666666662,10,98.6,HIGH,-5.10126582278481,2
SKU48,haircare,Greater Asia,30,2.9,1.8999999999999972,1,52.6,MEDIUM,15.03448275862069,2
SKU9,skincare,Indonesia,14,32.666666666666664,1937.8333333333328,1677,86.5,CRITICAL,-26.571428571428573,3
SKU11,skincare,Indonesia,46,32.0,1578.0,1366,86.6,CRITICAL,-21.5625,3
SKU1,skincare,Indonesia,53,49.06666666666667,1553.9333333333334,1345,86.6,CRITICAL,-27.839673913043477,3
SKU94,cosmetics,Indonesia,77,296.09999999999997,1551.55,1225,79.0,CRITICAL,-23.659574468085108,3
SKU91,cosmetics,Indonesia,98,213.73333333333335,1199.6666666666667,947,78.9,CRITICAL,-18.790393013100438,3
SKU43,haircare,Indonesia,36,179.4,1085.25,1085,100.0,CRITICAL,-27.193979933110366,3
SKU34,skincare,Indonesia,1,140.46666666666667,1032.4333333333334,893,86.5,CRITICAL,-25.95016611295681,3
SKU50,cosmetics,Indonesia,31,211.0,849.9250000000002,671,78.9,CRITICAL,-21.53080568720379,3
SKU80,skincare,Indonesia,39,58.13333333333333,818.4666666666666,708,86.5,HIGH,-12.658256880733944,3
SKU88,cosmetics,Indonesia,60,171.96666666666667,762.9833333333332,602,78.9,CRITICAL,-15.557666214382632,3
SKU35,cosmetics,Indonesia,42,119.73333333333333,747.4916666666668,590,78.9,CRITICAL,-24.193763919821826,3
SKU73,cosmetics,Indonesia,17,62.5,623.625,492,78.9,CRITICAL,-23.64,3
SKU12,haircare,Indonesia,100,44.8,611.2,611,100.0,CRITICAL,-21.07142857142857,3
SKU33,cosmetics,Indonesia,4,184.8,596.6000000000001,471,78.9,CRITICAL,-16.805194805194805,3
SKU52,skincare,Indonesia,64,27.333333333333332,585.1666666666665,506,86.5,HIGH,-8.658536585365853,3
SKU7,cosmetics,Indonesia,93,14.2,435.95,344,78.9,HIGH,-10.450704225352112,3
SKU55,haircare,Indonesia,97,116.83333333333334,364.4916666666667,364,99.9,HIGH,-6.848787446504993,3
SKU92,cosmetics,Indonesia,90,73.6,353.89999999999986,279,78.8,CRITICAL,-15.217391304347826,3
SKU53,skincare,Indonesia,96,24.2,333.55,289,86.6,HIGH,-13.099173553719007,3
SKU74,haircare,Indonesia,41,150.66666666666666,215.1333333333334,215,99.9,MEDIUM,-4.639380530973451,3
SKU67,skincare,Indonesia,12,153.9,180.37500000000003,156,86.5,HIGH,-8.298245614035087,3
SKU86,skincare,Indonesia,32,44.6,157.54999999999998,136,86.3,HIGH,-9.695067264573991,3
SKU75,skincare,Indonesia,16,35.33333333333333,107.66666666666664,93,86.4,CRITICAL,-15.471698113207548,3
SKU25,haircare,Indonesia,82,14.2,20.950000000000006,20,95.5,MEDIUM,6.323943661971832,3
SKU70,haircare,Indonesia,10,4.266666666666667,14.533333333333339,14,96.3,MEDIUM,-2.625,3
SKU2,haircare,Indonesia,1,0.5333333333333333,4.466666666666667,4,89.6,HIGH,-6.25,3
